QueryNumber;QueryText
00075;BEST TREATMENT PULMONARY HYPERTENSION ANDOR COR PULMONALE CF PATIENT
00076;EFFECT EXERCISE TRAINING PROGRAM LUNG FUNCTION CF PATIENT
00077;TECHNIQUE EFFECTIVE PROMOTING CLEARANCE MUCUS LUNG CF PATIENT
00078;SPECIAL CONSIDERATION TREATMENT CF PATIENT ANTIBIOTIC IE PHARMACODYNAMICS ANTIBIOTIC DIFFERENT CF PATIENT SPECIAL PROBLEM PECULIAR CF
00079;ROLE ORALLY ADMINISTERED ANTIBIOTIC TREATMENT CF PATIENT
00080;EVIDENCE COMBINATION THERAPY AMINOGLYCOSIDES SEMISYNTHETIC PENICILLIN EFFECTIVE THERAPY EITHER ALONE
00081;EFFECTIVE INHALATION MUCOLYTIC AGENT TREATMENT CF PATIENT
00082;ROLE AEROSOL TREATMENT LUNG DISEASE CF PATIENT
00083;ROLE BACTERIAL PHAGOCYTOSIS ALVEOLAR MACROPHAGE POLYMORPHONUCLEAR LEUKOCYTE LUNG DISEASE CF PATIENT
00084;RELATIONSHIP HAEMOPHILUS INFLUENZAE PSEUDOMONAS AERUGINOSA CF PATIENT
00085;CF PATIENT EVER DEVELOP INFECTION ORGAN LUNG ORGAN
00086;ROLE BACTERIA PSEUDOMONAS AERUGINOSA STAPHYLOCOCCUS AUREUS HAEMOPHILUS INFLUENZAE PATHOGENESIS LUNG DISEASE CF PATIENT
00087;ROLE FUNGI PATHOGENESIS LUNG DISEASE CF PATIENT
00088;ROLE VIRAL INFECTION LUNG DISEASE CF PATIENT
00089;EPIDEMIOLOGY PSEUDOMONAS AERUGINOSA CF PATIENT SPECIFICALLY CF PATIENT SPREAD PSEUDOMONAS AERUGINOSA PATIENT INDIVIDUAL FAMILY
00090;FACTOR RESPONSIBLE APPEARANCE MUCOID STRAIN PSEUDOMONAS AERUGINOSA CF PATIENT
00091;UNUSUAL MANIFESTATION CF LUNG DISEASE EXOCRINE PANCREATIC INSUFFICIENCY
00092;PROGNOSIS SURVIVAL PATIENT CF
00094;ANIMAL MODEL AVAILABLE RELEVANT CF
00095;ABNORMALITY SKELETAL MUSCLE FUNCTION STRUCTURE FOUND CF PATIENT
00096;INCREASED INCIDENCE DENTAL PROBLEM EG CARIES PERIODONTAL DISEASE CF PATIENT
00097;OXYGEN TRANSPORT RED BLOOD CELL ABNORMAL CF PATIENT
00098;EFFECT CF DEVELOPMENT ANDOR FUNCTION BRAIN CENTRAL NERVOUS SYSTEM
00099;ABNORMALITY TASTE CF PATIENT
00100;INCIDENCE TREATMENT HYPERTROPHIC OSTEOARTHROPATHY CF PATIENT
